#,,Symbol,Common Name,Internal,3'-end,2'-OH Blocked,,Exact Mass,Mass diff with Standard,internal Chemical Formula,3'-end chemical Formula,Formular diff(internal&3'end),,Chemistry,,,,,,,,,
78,,cmnm5Um,5-carboxymethylaminomethyl- 2'-O-methyluridine,407.07298,345.11718,,,407.07298,101.04768,C13H18N3O10P,,,,,,,,,,,,,
79,,cmnm5s2U,5-carboxymethylaminomethyl-2-thiouridine,409.03449,347.07869,,,409.03449,103.00919,C12H16N3O9PS,,,,,,,,,,,,,
80,,m62A,"N6,N6-dimethyladenosine",357.08382,295.12802,,,357.08382,28.0313,C12H16N5O6P,,,,,,,,,,,,,
81,,Im,2'-O-methylinosine,344.05219,282.09639,Yes,,344.05219,,C11H13N4O7P,,,,NA,,,,,,,,,
82,,m4C,N4-methylcytidine,319.05694,257.10114,,,319.05694,14.01565,C10H14N3O7P,,,,,,,,,,,,,
83,,m4Cm,"N4,2'-O-dimethylcytidine",333.07259,271.11679,Yes,,333.07259,28.0313,C11H16N3O7P,,,,NA,,,,,,,,,
84,,hm5C,5-hydroxymethylcytidine,335.05185,273.09605,,,335.05185,30.01056,C10H14N3O8P,,,,,,,,,,,,,
85,,m3U,3-methyluridine,320.04095,258.08515,,,320.04095,14.01565,C10H13N2O8P,,,,,,,,,,,,,
86,,m1acp3Y,1-methyl-3-(3-amino-3-carboxypropyl) pseudouridine,421.08863,359.13283,,,421.08863,115.06333,C14H20N3O10P,,,,,,,,,,,,,
87,,cm5U,5-carboxymethyluridine,364.03078,302.07498,,,364.03078,58.00548,C11H13N2O10P,,,,,,,,,,,,,
88,,m6Am,"N6,2'-O-dimethyladenosine",357.08382,295.12802,,,357.08382,28.0313,C12H16N5O6P,,,,,,,,,,,,,
89,,m62Am,"N6,N6,2'-O-trimethyladenosine",371.09947,309.14367,Yes,,371.09947,42.04695,C13H18N5O6P,,,,NA,,,,,,,,,
90,,"m2,7G","N2,7-dimethylguanosine",373.07873,311.12293,,,373.07873,28.0313, C12H16N5O7P,,,,,,,,,,,,,
91,,"m2,2,7G","N2,N2,7-trimethylguanosine",387.09438,325.13858,,,387.09438,42.04695,C13H18N5O7P,,,,,,,,,,,,,
92,,m3Um,"3,2'-O-dimethyluridine",334.0566,272.1008,Yes,,334.0566,28.0313,C11H15N2O8P,,,,NA,,,,,,,,,
93,,m5D,5-methyldihydrouridine,322.0566,260.1008,,,322.0566,16.0313,C10H15N2O8P,,,,,,,,,,,,,
94,,m3Y,3-methylpseudouridine,320.04095,258.08515,,,320.04095,14.01565,C10H13N2O8P,,,,,,,,,,,,,
95,,f5Cm,5-formyl-2'-O-methylcytidine,347.05185,285.09605,Yes,,347.05185,42.01056,C11H14N3O8P,,,,NA,,,,,,,,,
96,,m1Gm,"1,2'-O-dimethylguanosine",373.07873,311.12293,,,373.07873,28.0313,C12H16N5O7P,,,,,,,,,,,,,
97,,m1Am,"1,2'-O-dimethyladenosine",357.08382,295.12802,Yes,,357.08382,28.0313,C12H16N5O6P,,,,NA,,,,,,,,,
98,,tm5U,5-taurinomethyluridine,443.03997,381.08417,,,443.03997,137.01467,C12H18N3O11PS,,,,,,,,,,,,,
99,,tm5s2U,5-taurinomethyl-2-thiouridine,459.01712,397.06132,,,459.01712,152.99182,C12H18N3O10PS2,,,,,,,,,,,,,
100,,imG-14,4-demethylwyosine,383.06308,321.10728,,,383.06308,38.01565,C13H14N5O7P,,,,,,,,,,,,,
101,,imG2,isowyosine,397.07873,335.12293,,,397.07873,52.0313,C14H16N5O7P,,,,,,,,,,,,,
102,,ac6A,N6-acetyladenosine,371.06308,309.10728,,,371.06308,42.01056,C12H14N5O7P,,,,,,,,,,,,,
103,,inm5U,5-(isopentenylaminomethyl)uridine,403.11445,341.15865,,,403.11445,97.08915,C15H22N3O8P,,,,,,,,,,,,,
104,,inm5s2U,5-(isopentenylaminomethyl)- 2-thiouridine,419.09161,357.13581,,,419.09161,113.06631,C15H22N3O7PS,,,,,,,,,,,,,
105,,inm5Um,5-(isopentenylaminomethyl)- 2'-O-methyluridine,417.1301,355.1743,Yes,,417.1301,111.1048,C16H24N3O8P,,,,NA,,,,,,,,,
106,,"m2,7Gm","N2,7,2'-O-trimethylguanosine",387.09438,325.13858,Yes,,387.09438,42.04695,C13H18N5O7P,,,,NA,,,,,,,,,
107,,m42Cm,"N4,N4,2'-O-trimethylcytidine",347.08824,285.13244,Yes,,347.08824,42.04695,C12H18N3O7P,,,,NA,,,,,,,,,
108,,C+,agmatidine,417.15257,355.19677,,,417.15257,112.11128, C14H24N7O6P,,,,,,,,,,,,,
109,,m8A,8-methyladenosine,343.06817,281.11237,,,343.06817,14.01565,C11H14N5O6P,,,,,,,,,,,,,
110,,gmnm5s2U,geranylated 5-methylaminomethyl-2-thiouridine,501.16986,439.21406,,,501.16986,195.14456,C21H32N3O7PS,,,,,,,,,,,,,
111,,gcmnm5s2U,geranylated 5-carboxymethylaminomethyl-2-thiouridine,545.15969,483.20389,,,545.15969,239.13439,2H32N3O9PS,,,,,,,,,,,,,
112,,cnm5U,5-cyanomethyl-uridine,345.0362,283.0804,,,345.0362,39.0109,C11H12N3O8P,,,,,,,,,,,,,
,,,,,-61.9558,,,,,,,,,,,,,,,,,,
,,,,,-61.9558,,,,,,,,,,,,,,,,,,
,,,http://mods.rna.albany.edu/mods/,,,,,,,,,,,,,,,,,,,,
